  x(m)        y(m)        z(m)        t(s)   
  100.0       0.0         200.0       0.0   
  623.9       78.3        200.0       60.0   
  225.2       97.3        200.0       120.0   
  909.7       43.8        200.0       180.0   
  909.7       43.8        200.0       240.0   
  225.2       97.3        200.0       300.0   
  624.9       78.3        200.0       360.0   
  200.0       0.0         200.0       420.0   
  179.1       94.5        200.0       480.0   
  111.3       169.7       200.0       540.0   
